CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
91,zdc065,519.87,Germany,Male,26.03,7.02,167479.98,1,1,1,133056.3,0
92,l6om5j,569.35,Germany,Male,28.19,2.54,16732.4,2,1,0,107151.73,0
93,fs2gl1,630.5,Germany,Female,40.46,4.67,71851.4,1,1,1,134619.59,1
94,try4m0,562.66,France,Female,44.39,8.33,22156.02,2,1,0,100503.72,0
95,x008te,611.1,France,Female,47.96,2.72,30200.55,1,1,0,132177.66,0
96,4l8ejs,689.5,France,Female,51.26,10,212437.8,2,1,1,87621.05,0
97,bx7jqu,655.42,France,Male,46.99,8,119026.45,1,1,1,117322.29,0
98,u7fhb4,518.68,France,Male,49.93,5.97,97015.55,2,0,1,29532.01,1
99,2g7nmn,673.95,France,Male,38.75,3,120125.75,2,0,0,86154.54,0
100,d039tm,555.84,France,Female,64.76,5.78,0,2,1,1,51807.37,0
